number	title	pageid	namespace	length	touched
23435	Motutunga	3554243		1527	20181123210035
23436	Alexandra_Robl	3554498		4410	20180228101654
23437	Alternattiva_Demokratika	3554820		3479	20181216161146
23438	Nichtholzprodukt	3554897		3406	20181003064031
23439	Höhenmedizin	3554936		5573	20181215154852
23440	Tahanea	3555204		2203	20181123210035
23441	G-Kat-Plakette	3555868		2154	20180715180028
23442	Liste_der_Naturschutzgebiete_in_Wuppertal	3555961		8503	20181119170851
23443	Reggnalm	3556468		1535	20181123210035
23444	Holstein-Warmzeit	3557175		4531	20181103113634
23445	Hans_Engl	3557235		3630	20181011081554
23446	Adansonia_rubrostipa	3557984		8167	20181216161147
23447	Liste_der_Nationalparks_in_Venezuela	3558118		10394	20181108164950
23448	Louis_Rippstein	3558280		2884	20181123180929
23449	Liste_der_regionalen_Naturparks_in_Frankreich	3558310		8403	20181216161147
23450	Nathan_Stubblefield	3558433		3552	20181119170851
23451	Orville_Freeman	3558610		4139	20181026150523
23452	Augstbergturm	3558815		510	20181123210035
23453	Fructus_(Verein)	3559481		8053	20181205013315
23454	2-Brombutansäure	3559568		3710	20181210113118
23455	Magnirostris	3559884		3723	20181126102847
23456	Regionaler_Naturpark_Vosges_du_Nord	3559945		2633	20181216161147
23457	Reginald_Dorman-Smith	3560051		6856	20181201145627
23458	Yukon-Charley_Rivers_National_Preserve	3560309		2970	20181123210035
23459	Seyhan-Talsperre	3560430		2692	20181216161147
23460	Carl_Pfeiffer_(Önologe)	3560676		5442	20181208142257
23461	Refuge_du_Goûter	3560886		8127	20181123210035
23462	Saadani-Nationalpark	3560935		3413	20181123210035
23463	Tematangi	3561157		8261	20181123210035
23464	Barton-Langschnabeligel	3561280		4449	20181215154852
23465	Paraoxon	3561361		3240	20181210113118
23466	Krummholz	3561541		4204	20181204135647
23467	Réunion-Weber	3561553		3285	20181216120103
23468	Attenborough-Langschnabeligel	3561631		4152	20181208124207
23469	National_Preserve	3561733		3772	20181218203434
23470	Urban_Mangold	3562138		5644	20181208142257
23471	Pemberton-Hirschmaus	3562165		4062	20181208124207
23472	Wolfgang_Nentwig	3562177		3506	20181003064032
23473	Griechischer_Frosch	3562266		8760	20181208124207
23474	Adansonia_grandidieri	3562987		5338	20181216161147
23475	Koblenzer_Stadtwald	3563215		8929	20181123210035
23476	Narkondam	3563237		2692	20181216161147
23477	Josef_Auer_(Politiker)	3563917		2674	20180404002642
23478	Sangay_Ngedup	3563923		2605	20181215154852
23479	Protoceratopsidae	3563982		7583	20181207105141
23480	Landwirtschaftliche_Universität_Chinas	3564285		4639	20181216161147
23481	Schleinsee_(See)	3564294		8161	20181205093933
23482	Gesa_Kluth	3564303		2840	20181113213150
23483	Tautschbuch	3564314		5014	20181123210035
23484	Entgräten	3564354		919	20180814175212
23485	Coronosauria	3564681		3413	20181126102847
23486	Rhizopus_microsporus	3565004		3231	20181126102847
23487	Chronos_und_die_Trauernde	3565066		6783	20181208142257
23488	Udanoceratops	3565110		4289	20181126102847
23489	Đồng_Bằng_Sông_Hồng	3565265		5184	20181123210035
23490	Meyer_Burger	3565346		4339	20181210172913
23491	Nationalpark_Médanos	3565410		3199	20181216161147
23492	Adansonia_madagascariensis	3565465		4542	20181216161147
23493	Grésivaudan	3565512		4203	20181123210035
23494	Adansonia_perrieri	3565742		4078	20181216161147
23495	Noatak_National_Preserve	3565848		3153	20181123210035
23496	Adansonia_za	3565856		5599	20181216161147
23497	Adansonia_suarezensis	3565932		4283	20181216161147
23498	Mopsitta_tanta	3566031		2807	20181126102847
23499	Bronzequoll	3566178		8640	20181208124207
23500	Noatak_Wilderness	3566337		219	20171125222759
23501	Luca_Zaia	3566475		4530	20181119170851
23502	Noatak_River	3566601		4720	20181123210035
23503	Produktabgrenzung	3566693		20431	20180924212928
23504	Stac_Lee	3567100		2843	20181204203929
23505	Oka-Don-Ebene	3567310		2516	20181216161147
23506	Stac_an_Armin	3567505		3600	20181204203929
23507	Ed_Schafer	3568156		5326	20181026150523
23508	Josef_Geisler	3568218		4541	20181011081555
23509	Longmen_Shan_(Sichuan)	3568336		2061	20181216161147
23510	Wolfgang_Becvar	3568479		3229	20181016174033
23511	Dreifaltigkeitseiche	3568744		4256	20181208142257
23512	Sergio_Martini	3569135		2593	20181025074908
23513	Walter_Sauerlandt	3569709		6470	20181119170851
23514	Erdbeben-Stelenwald_von_Xichang	3570038		3669	20181216161147
23515	Bunder_Mühle	3570040		6473	20181123210036
23516	Mindergetreide	3570214		2818	20171125095637
23517	Liverpool-Taube	3570625		3953	20181212173102
23518	Helge_Nyncke	3570730		2106	20181215000100
23519	Bruno_Steglich	3570890		9257	20181003064032
23520	Angelika_Hörmann	3571152		3074	20180908121558
23521	Hochschule_für_Forstwirtschaft_Rottenburg	3571262		6364	20181123210036
23522	Mathias_Bollinger	3571341		1617	20181021131936
23523	Riserva_naturale_orientata_Cavagrande_del_Cassibile	3571358		5565	20181123210036
23524	Verein_gegen_Tierfabriken_(Österreich)	3571415		7830	20181210235850
23525	Rundblättrige_Fetthenne	3571440		3804	20181208125018
23526	Kurenwimpel	3571597		12526	20180917184412
23527	Technologiefrüherkennung	3571694		7231	20181107164241
23528	Liste_der_Nationalparks_in_der_Volksrepublik_China	3571947		62547	20181216161147
23529	Krautiges_Immergrün	3572056		9286	20181216095035
23530	Angelika_Krebs	3572350		6851	20181029073920
23531	80_PLUS	3572684		11379	20181208142257
23532	B._Frank_Heintzleman	3572987		2945	20181017130927
23533	Tetscha	3573000		7666	20181216161147
23534	Violetter_Lacktrichterling	3573345		3789	20181126102847
23535	Herrenwieser_See	3573494		2556	20181123210036
23536	Naturschutzgebiet_Eppendorfer_Moor	3573557		4219	20181123210036
23537	Uwharrie_Lakes_Region	3573671		1447	20171125154241
23538	Vetropack_Holding	3573800		9937	20181210172913
23539	Edward_Atkinson	3573814		23497	20181123210036
23540	Kernbuche	3573852		4840	20181208142257
23541	Deutscher_Wasserstoff-_und_Brennstoffzellen-Verband	3574591		2157	20181126193832
23542	European_Hydrogen_Association	3574699		1321	20181126193832
23543	Mauritiusweber	3575683		5992	20181208124207
23544	Wasserkraftwerk_Raffelberg	3575762		6207	20181123210036
23545	Russenlinde	3576483		2886	20181208142257
23546	Hans-Jürgen_Seraphim	3576645		6980	20181127071342
23547	Nydam-Moor	3576758		8930	20181208142257
23548	Opfermoor	3576968		3739	20171125111255
23549	Stefan_Gelbhaar	3577097		7458	20181215154852
23550	Standortübungsplatz_Speyer	3577500		8660	20181123210036
23551	Tomás_Garrido_Canabal	3577579		2751	20181215154852
23552	Polhemsrad	3577607		3963	20181123210036
23553	Silberberg_(Hagen_am_Teutoburger_Wald)	3577725		5287	20181208142257
23554	WABAG	3578007		21370	20181210172913
23555	Champagne_Pool	3578022		2869	20181216161147
23556	Günther_Sterba	3578286		16117	20181121202722
23557	Lahnmarmor	3578845		14506	20181030144128
23558	Gottfried_Hirz	3578888		6184	20180920174222
23559	Tobias-Köcherfliege	3579058		3471	20181208124207
23560	Haematopinus_oliveri	3579403		2207	20181208124207
23561	Ulrike_Schwarz	3579570		3361	20181130064013
23562	Wasserkraftwerk_Kahlenberg	3580322		4723	20181123210036
23563	Maria_Wageneder	3580439		2775	20180605142219
23564	Gunther_Trübswasser	3580484		2310	20180722190812
23565	Kathrin_Henneberger	3580811		2547	20181026150523
23566	Vorwerk_(Gutshof)	3581064		2524	20181129160739
23567	Georg_Wiegner	3581245		7643	20181003064033
23568	Karl-Eugen_Rehfuess	3581329		6517	20181003064033
23569	Elmer_Swenson	3581422		2747	20171213112257
23570	Shihuadong	3581454		1414	20181123210036
23571	Ägypter_(Klettertechnik)	3581611		10862	20181208142257
23572	Rice_Research_Institute_(Bangkok)	3581656		2269	20171125123417
23573	Talha_Uğur_Çamlıbel	3581823		2146	20180323112654
23574	Exotenwald	3581937		7038	20181208142257
23575	Arboretum_Tervuren	3582063		1994	20181216161147
23576	Biomasseheizwerk	3582294		8404	20180920174222
23577	Energiebilanz_(Ökologie)	3582335		8326	20180825201440
23578	Dahme-Umflutkanal	3582743		2758	20181123210036
23579	Liste_von_Erdbeben_in_China	3582823		61617	20181119170852
23580	Teratornis	3582861		3354	20181207234938
23581	Lake_Norman_State_Park	3583199		4926	20181123210036
23582	Tannenkrebs	3583262		6332	20181126102847
23583	Ferdinand_Adolph_Wilda	3583378		2484	20181003064033
23584	African_Queen_(Schiff)	3583561		2846	20181119170852
23585	Schichtholz	3583844		2755	20181117083631
23586	Beutling_(Wellingholzhausen)	3584840		2886	20181123210036
23587	Walther_Soyka	3585050		7950	20180908121558
23588	Polleur-Venn	3585268		4884	20171125115210
23589	Forstamt_Arnsberg	3585365		106	20180414042220
23590	Přední_kout	3585410		2517	20181211160836
23591	Ebenberg	3586662		3314	20181123210036
23592	Schloss_Buonas	3587287		6901	20181123210036
23593	Emerald_Bay_State_Park	3587707		3262	20181123210036
23594	Lignocerinsäure	3587781		4540	20181210113118
23595	Bieselheide	3587902		6995	20181123210036
23596	Nusplinger_Plattenkalk	3587943		478	20181116223358
23597	Blauroter_Steinsame	3588181		6796	20181215154853
23598	Waldhufenflur	3588388		50	20181128152935
23599	Karlsbader_Hütte	3588910		3546	20181123210036
23600	Dickendorfer_Mühle	3589546		14200	20181123210036
23601	Point_(Toponym)	3589773		2621	20181216161148
23602	Umgebungslärm	3590503		15330	20181208142258
23603	Materpiscis	3591007		3252	20181126102847
23604	Mühle_von_Shawbost	3591051		4434	20181123210036
23605	Campos_Grand_Prix	3591470		8882	20181026150523
23606	Augustin_Prescher	3591616		4282	20181208142258
23607	Goldelse_(Rose)	3591873		1465	20180428204902
23608	Össur_Skarphéðinsson	3592845		4131	20181119170852
23609	Offshore-Windpark_Butendiek	3593112		10050	20181123210036
23610	Royal_Forest_Department	3593161		5715	20181218215113
23611	Angela_Eiter	3593201		6900	20181210191239
23612	Randengrobkalk	3593337		2247	20180108173341
23613	Jérôme_D’Ambrosio	3593839		23107	20181217175932
23614	Wilhelm_Römer_(Agronom)	3593963		11525	20181119170852
23615	Biomasse-Heizkraftwerk_Werl	3594170		5467	20181208142258
23616	Liste_der_Naturdenkmäler_im_Landkreis_Rhön-Grabfeld	3594236		14854	20181208164248
23617	Thermoplastische_Stärke	3594372		6587	20180829085101
23618	Viktor_Wolf_von_Glanvell	3594461		6342	20181208142258
23619	Übersehenes_Filzkraut	3594631		3441	20181215154853
23620	Iñaki_Ochoa_de_Olza	3594684		3622	20181003064033
23621	Georgenstein_(Isar)	3595141		13718	20181208142258
23622	International_Society_of_Limnology	3595396		2552	20180703180947
23623	Tübinger_Hütte	3595432		6114	20181208142258
23624	Isabelle_Autissier	3595651		3201	20181003064033
23625	Deutsche_Gesellschaft_für_Limnologie	3595742		2411	20181126190825
23626	Evelyn_(Rose)	3595825		1835	20180726025028
23627	Golden_Celebration_(Rose)	3595937		3433	20181025203117
23628	Kohlenbrunnermühle	3595975		991	20181210103016
23629	Verena_Krieger	3596010		4557	20181026150524
23630	Lac_Saint-Pierre	3596085		4512	20181215154853
23631	Gesellschaft_zur_Rettung_der_Delphine	3596473		19145	20181208142258
23632	Climbazol	3596940		3913	20181210113118
23633	The_Pilgrim	3597211		2554	20181130155713
23634	Yellow_Button_(Rose)	3597299		2358	20180428204902
23635	Landesverband_für_Obstbau,_Garten_und_Landschaft_Baden-Württemberg	3597380		2785	20171119200919
23636	Aur	3597529		1628	20181123210036
23637	Nimravides	3597552		2282	20181126102847
23638	Ailuk	3597673		3746	20181123210036
23639	1,4,7,10-Tetraazacyclododecan-1,4,7,10-tetraessigsäure	3597858		6236	20181210113118
23640	BDP_Graubünden	3597879		11841	20181216161148
23641	Buddenberg-Arboretum	3598049		3909	20181123210036
23642	Dissopsalis	3598081		2057	20181216131714
23643	Cape_Hatteras_National_Seashore	3598168		3179	20181123210036
23644	Hackschnitzelharvester	3598385		6111	20181126193832
23645	Danaparoid	3598494		4524	20181215154853
23646	Cyclen	3598675		6140	20181210113118
23647	Farnesene	3598888		7600	20181211115725
23648	Kastanienrindenkrebs	3598941		6855	20181126102847
23649	Reduktosol	3598942		4299	20181004110404
23650	Sandvulkan	3598986		1799	20181122190133
23651	Isla_de_la_Luna	3599054		2137	20181204203929
23652	Tierschutzverein_Wuppertal	3599174		12980	20181208142258
23653	Addu-Atoll	3599370		3852	20181216161148
23654	Cape_Lookout_National_Seashore	3599548		2876	20181123210036
23655	Kraftwerke_an_der_Drau	3599735		14023	20181106104334
23656	Liselotte_Buchenauer	3600054		7859	20181003064034
23657	Lippoldshöhle	3600075		2971	20181208145653
23658	Laserzlauf	3600361		2565	20180630165441
23659	Hermann_von_Heeren	3601007		4040	20181003064034
23660	Salten_(Norwegen)	3601029		484	20181123210036
23661	Haus_Düsse	3601107		29356	20181124215916
23662	Maloelap	3601212		2241	20181123210036
23663	Telanthropus_capensis	3601271		98	20180819074543
23664	Australopithecus_prometheus	3601291		10554	20181220091750
23665	Benjamin_Samuel_Williams	3601375		5059	20181211035218
23666	Hauptlage_(Geowissenschaft)	3601655		4770	20180422194811
23667	Manfred_Posch	3601922		6538	20181003064034
23668	Fliegenfischen_(Zeitschrift)	3602048		1699	20181102054522
23669	Moorpflug	3602100		5383	20180720005659
23670	Friedhelm_Ortgies	3602118		4422	20181119170853
23671	Label_STEP	3602382		4578	20181208142258
23672	South_Okanagan-Similkameen_National_Park	3602629		5936	20181123210036
23673	Croatan_National_Forest	3602984		4084	20181123210036
23674	Strauch-Rosskastanie	3603528		7591	20181206145334
23675	Florvil_Hyppolite	3603654		14910	20181014224547
23676	Karpaten-Felsenblümchen	3603749		4124	20181208124621
23677	Volker_Ratzmann	3603912		6663	20181208142258
23678	Michael_Gwosdz	3603974		7143	20181208142258
23679	Sächsische_Weinkönigin	3604164		4143	20181026150524
23680	Bikar	3604497		2359	20181123210036
23681	Bokak	3604820		2530	20181123210036
23682	Schnee-Frauenmantel	3605677		6850	20181126102847
23683	MAN_Solar_Millennium	3606086		139	20180315211152
23684	Árbol_de_Piedra	3606120		1507	20181123210036
23685	Siloli	3606131		1392	20181123210036
23686	Salvador-Dalí-Wüste	3606222		1251	20181123210036
23687	Sanqing_Shan	3606241		2213	20181215154853
23688	Johann_Paul_Knohll	3606900		7987	20181208142258
23689	Regional_Specialized_Meteorological_Centre	3607193		5744	20181216161148
23690	Heidrun_Heidecke	3607219		5212	20181208142258
23691	Wotje	3607460		2400	20181123210036
23692	Kraftwerk_Ebensand	3607535		7961	20181123210036
23693	Stein_Valley_Nlaka'pamux_Heritage_Park	3607633		5636	20181215154853
23694	Freie_Waldorfschule_Wetterau	3607651		4797	20181208142258
23695	Uwharrie_National_Forest	3607877		2994	20181123210036
23696	Eduard_Brückner	3608107		2760	20181003064034
23697	Dansylchlorid	3608164		4318	20181210113118
23698	Rapetosaurus	3608227		7999	20181126102847
23699	Centrosaurus	3608477		16389	20181216161148
23700	Später_Kastanienwickler	3608502		8160	20181208142258
23701	Kerschbaumeralm_Schutzhaus	3609410		4194	20181123210036
23702	Eugen_Bachmann	3609517		2198	20181208142258
23703	SVP_Graubünden	3609779		2999	20181216161148
23704	Hans_Wießmann	3609892		4897	20181119170853
23705	WeltWald_Harz	3610316		5655	20181123210036
23706	Gerobatrachus	3610328		3465	20181126102847
23707	Biosphärenreservat_Thüringer_Wald	3610945		21672	20181208142258
23708	Diiodpentoxid	3611268		4707	20181210113118
23709	Karibische_Mönchsrobbe	3611402		8436	20181208124207
23710	Harold_Frederick_Comber	3612173		2810	20181211035218
23711	Günthersbühler_Forst	3612234		1987	20181123210036
23712	Georg_Wimmer_(Agronom)	3612423		3692	20181003064034
23713	Tetramethylammoniumhydroxid	3612649		3341	20181210113118
23714	Joško_Vlasich	3612763		4397	20181218140348
23715	World_Radiation_Monitoring_Center	3612786		2230	20180327193535
23716	Pedro_A._Sanchez	3612792		1666	20181003064034
23717	NABEL	3612928		9472	20181208142258
23718	Staufner_Haus	3613215		3471	20181123210036
23719	Naturschutzgebiet_Hohe_Burg_und_Schwarzer_See	3613631		6109	20181208142258
23720	Essigsäure-n-propylester	3613748		7217	20181210113118
23721	DIN_1054	3613913		1839	20180315135727
23722	DIN_4022	3613970		4454	20180813204023
23723	Isogyre-Pumpturbine	3614033		1185	20180608134504
23724	René_Dumont_(Agrarwissenschaftler)	3614123		7007	20181207213041
23725	Fidelitashütte	3614205		123	20180330104645
23726	Liste_chinesischer_Erdbeben-Naturdenkmäler	3614461		5585	20181216161148
23727	Utirik	3614469		3898	20181123210036
23728	Sölde_(Landwirtschaft)	3615028		2467	20181016163952
23729	Α-Aminobuttersäure	3615114		4245	20181211120634
23730	Christiaan_Bakkes	3615170		6425	20181011081555
23731	Erdbeben_von_Haiyuan_1920	3615326		3377	20181216161148
23732	Nickelocen	3616074		4406	20181215154854
23733	Minami-Iwojima	3616076		2907	20181216161148
23734	Liste_von_Grabenbruchseen	3616333		1823	20181216161148
23735	Inwärtseigen	3616722		2379	20181112175517
23736	Südtannenmoor	3616855		5710	20181123210036
23737	Pyrenäen-Eiche	3617248		6887	20181208124621
23738	Stiftung_Naturlandschaften_Brandenburg	3617354		3836	20181110175821
23739	Forestry_Commission	3617419		6357	20180929164304
23740	Pentadecansäure	3617500		6123	20181213165656
23741	Dropknee	3617839		69	20180327042348
23742	Essigsäureisopropylester	3618003		3819	20181210113118
23743	Gay_Outdoor_Club_München	3618246		5796	20181205013315
23744	4-Nitropyridin-N-oxid	3618656		4421	20181210113118
23745	Tridecansäure	3618973		4786	20181213132852
23746	ÖkologiePolitik	3619017		2897	20181208142258
23747	Herbert_Haas_(Politiker,_1934)	3619018		6452	20181208142258
23748	EN_ISO_14688	3619374		242	20180813204024
23749	Bröcking	3619905		2148	20181123210036
23750	Toke	3620203		1576	20181123210036
23751	Biomasse-Heizkraftwerk_Recklinghausen	3620690		5065	20181123210036
23752	Eidgenössische_Volksinitiative_«Raum_für_Mensch_und_Natur_(Landschaftsinitiative)»	3620827		5324	20180920174224
23753	Moorea-Rohrsänger	3620845		4946	20181208124207
23754	Torishima_(Izu-Inseln)	3620914		4765	20181216161148
23755	BioEnergie_Taufkirchen	3620919		3291	20181123210036
23756	Vatnajökull-Nationalpark	3620980		12416	20181123210036
23757	Erdbebenmuseum_Lanzhou	3621509		2049	20181216161148
23758	Michael_Maurer_(Baumpfleger)	3621981		3130	20181028131544
23759	Riedenburger_Brauhaus	3622592		3117	20181210172913
23760	Songnen-Ebene	3622722		510	20181216161148
23761	Tauernwindpark	3622812		12393	20181124132449
23762	Psyttalia	3622850		12428	20181216161148
23763	Rückersdorfer_Forst	3622881		2419	20181123210036
23764	Forstliche_Versuchsanstalt_Metla	3622964		4328	20180527061427
23765	Thermal_Response_Test	3622976		1227	20180323180538
23766	Kraftwerksarm	3623405		71	20171125205730
23767	Werner_von_Nitzsch	3623656		5268	20181119170854
23768	U.S._Green_Building_Council	3623674		1096	20181122170726
23769	Tarenflurbil	3624282		3670	20181210113118
23770	Westerstetten-Muster	3624818		1677	20171231150151
23771	Gentamicin	3624838		19164	20181210113118
23772	Association_for_the_Sciences_of_Limnology_and_Oceanography	3624986		5976	20181208142259
23773	Mechanisierung_der_Landwirtschaft	3625048		4432	20181030113857
23774	Haus_Laake	3625096		7530	20181123210036
23775	Rittersitz_Aquak	3625148		5101	20171125123837
23776	Turibaum	3625265		2834	20181208124621
23777	Gymnasium_am_Bötschenberg	3625326		5670	20181208142259
23778	Tombstone_Territorial_Park	3625491		3359	20181123210036
23779	Free_Air_Carbon_Dioxide_Enrichment	3625640		6121	20181208142259
23780	Sojamethylester	3625667		6816	20181208142259
23781	Riserva_naturale_orientata_Capo_Gallo	3625857		5408	20180507053529
23782	Clearingstelle_EEG	3627053		23498	20181017144150
23783	Griesheimer_Düne	3627073		4595	20181123210036
23784	Schleifmühle_Schwerin	3627425		4756	20181123210037
23785	Fenn_(Geographie)	3627582		13052	20181208142259
23786	Phylogeographie	3627914		5998	20180821154832
23787	Haus_Nottbeck	3628081		159	20181113162725
23788	Mejit	3628124		2911	20181204203929
23789	Schweizerische_Kynologische_Gesellschaft	3628428		2949	20181205013315
23790	Walter_Schneider_(Politiker,_1925)	3628459		2441	20181208142259
23791	Hans_Niklas	3628553		5349	20181003064035
23792	Peter_Willers	3628618		10168	20181126193832
23793	Elenco_ufficiale_delle_aree_protette	3628631		1806	20181022202640
23794	Knox-Atoll	3628681		1711	20181123210037
23795	Clemens_von_Althaus	3628859		5586	20181003064035
23796	DAMS	3629227		15010	20181217174819
23797	Erikub	3629385		2605	20181123210037
23798	Hofgut_Kolnhausen	3630145		5137	20181123210037
23799	Veroneser_Marmor	3630217		13765	20181216161148
23800	Bimini-Twist-Knoten	3630302		2972	20181216161148
23801	Likiep	3630479		3318	20181123210037
23802	François_Rozier	3630681		7468	20181031153020
23803	Brandberge	3630889		5679	20181123210037
23804	Echinokokkose	3630901		3908	20181213081649
23805	Ailinginae	3631143		2603	20181123210037
23806	Catstye_Cam	3631491		4626	20181123210037
23807	Friedrich_Nobbe	3631730		9265	20181003064035
23808	Heidenhäuschen	3631772		7904	20181208142259
23809	Georg-Christoph-Lichtenberg-Gesamtschule	3632121		11206	20181215154854
23810	Höglwörther_See	3632364		3352	20181123210037
23811	Ujelang	3632606		2478	20181123210037
23812	Tatenhauser_Wald	3632900		5228	20181208142259
23813	Papiermuseum_in_Duszniki-Zdrój	3633619		7883	20181205000241
23814	Bürgerlich-Demokratische_Partei	3634140		24022	20181216161148
23815	Kleeulme	3634432		6460	20181208124621
23816	Max_Kienitz	3636089		6623	20181208142259
23817	Heneicosansäure	3636245		5204	20181210113118
23818	Nimesulid	3636321		4012	20181210113118
23819	Paul_Fasching	3636326		3527	20181015170223
23820	Steffenshammer	3636609		4597	20181123210037
23821	Westallgäu	3636637		5649	20181218085612
23822	Columbia_Sportswear	3636909		4350	20181210172914
23823	Aluminiumtitanat	3637485		5602	20181210113118
23824	Wotho	3637763		1644	20181210224138
23825	Eomanis	3637784		20100	20181126102847
23826	Lead_(Klettern)	3637866		61	20181001084103
23827	Diexi-Erdbeben_von_1933	3638008		1970	20181216161148
23828	Cécile_Bühlmann	3638150		2602	20181208142259
23829	Wasserleitungskraftwerk_Gaming	3638235		4633	20181123210037
23830	River_Esk_(Cumbria)	3638499		2914	20181123210037
23831	Esk_Pike	3638638		3280	20181123210037
23832	Erdbeben_im_Süden_von_Kangding_in_Sichuan_1786	3638751		2637	20181216161148
23833	Chinesische_Kastanie	3638757		8675	20181208124621
23834	Erdbeben_von_Qishan_in_Shaanxi_780_v._Chr.	3638843		2330	20181208142259
23835	Erdbeben_von_Zhucheng_und_Changle_in_Shandong_70_v._Chr.	3638896		1857	20181123210037
23836	Erdbeben_im_Westen_von_Gangu_in_Gansu_143	3638912		1619	20181123210037
23837	Erdbeben_im_Westen_von_Gaotai_in_Gansu_180	3638921		1780	20181123210037
23838	Erdbeben_zwischen_Yuanping_und_Dai_in_Shanxi_512	3638937		1481	20181123210037
23839	Erdbeben_nahe_Tianshui_in_Gansu_734	3638940		1716	20181123210037
23840	Erdbeben_im_Gebiet_von_Xichang_in_Sichuan_814	3638943		1536	20181123210037
23841	Erdbeben_im_Nordwesten_von_Baotou_in_der_Inneren_Mongolei_849	3638950		1456	20181123210037
23842	Intersolar	3639143		8669	20180716095213
23843	Franz_Fliri	3639183		5109	20181119170854
23844	Theodor_Schube	3639781		3431	20181216104031
23845	Ailinglaplap	3639855		2867	20181123210037
23846	Rauchgrauer_Flughund	3640244		3445	20181208124207
23847	Lae-Atoll	3640290		1423	20181123210037
23848	Oxymetazolin	3641011		7320	20181210113118
23849	Landesregierung_Weingartner_II	3641035		2443	20181026150525
23850	Japanische_Kastanie	3641059		7328	20181219172722
23851	Uranylverbindungen	3641251		36853	20181208142259
23852	Rapalaknoten	3641291		2327	20181216161148
23853	Domoinsäure	3641762		3773	20181210113118
23854	Minerva-Riffe	3641905		5689	20181216161148
23855	Pumpspeicherkraftwerk_Żarnowiec	3641961		5616	20181215154854
23856	Nationalpark_Lauwersmeer	3642138		6570	20181215154854
23857	Verbuschung	3642149		2483	20181208142259
23858	Nationalpark_Schiermonnikoog	3642163		9702	20181215154854
23859	Landesregierung_Pühringer_III	3642221		3428	20181208142259
23860	Waleri_Pawlowitsch_Babanow	3642391		1578	20181216161148
23861	Chinesisches_Amt_für_Seismologie	3642631		1308	20181216161148
23862	Corystospermales	3642846		8970	20181126102847
23863	Loweswater	3642965		2910	20181208142259
23864	Oriol_Servià	3643096		23755	20181215154854
23865	Ricardo_Díez-Hochleitner	3643320		1983	20181026150525
23866	Patterdale	3643326		3492	20181123210037
23867	Solar_Grand_Plan	3643343		4208	20181005174820
23868	Johann_Samuel_Gottlob_Flemming	3643360		3801	20181208142259
23869	Gorgosaurus	3643673		30296	20181215154855
23870	Hirschjagdpark	3643805		3081	20171125055520
23871	Chlordiphenylphosphan	3643841		4663	20181210113118
23872	Georges_Laraque	3643889		10899	20181208091637
23873	Stockerauer_Au	3643965		3319	20181123210037
23874	Gustav_Rau_(Hippologe)	3643977		8697	20181003064035
23875	Terrigen	3644027		714	20180821095700
23876	Uranocen	3644049		5940	20181210113118
23877	Ludwig_Perlitius	3644493		8474	20181003064035
23878	Universität_Hokkaidō	3644504		5116	20181216161148
23879	Kraftwerk_Kneiding	3644508		1672	20181123210037
23880	Talsperre_Horka	3644879		2756	20181123210037
23881	Gosslingia	3645176		4694	20181126102847
23882	Uranylchlorid	3645425		7640	20181215154855
23883	Podarcis_lilfordi_rodriquezi	3645469		3716	20181126102847
23884	Rossi-Forel-Skala	3645551		2979	20181026150525
23885	Europäische_Makroseismische_Skala	3645657		5400	20181026150525
23886	Fallhöhe_(Wasserbau)	3645731		3258	20181208142259
23887	Septarie	3645749		3413	20180403150544
23888	Hohenzollernhaus	3645844		5855	20181208142259
23889	Talsperre_Skalka	3645891		2964	20181123210037
23890	Berghaus_Ltd.	3646077		2785	20181210172914
23891	Talsperre_Jesenice	3646126		2893	20181123210037
23892	Erdbebenskala	3646149		7407	20181126193832
23893	Helmut_Lieth	3646185		2389	20181003064035
23894	Uranylfluorid	3646189		5021	20181210113118
23895	Intensität_(Erdbeben)	3646405		5251	20181026150525
23896	Stylolith	3646856		4546	20171125142913
23897	Dichlorphenylphosphan	3646904		4997	20181210113118
23898	Mühlenhof_Breckerfeld	3646936		2747	20181123210037
23899	Uran(III)-chlorid	3647376		8703	20181210113118
23900	Hsua	3647493		4569	20181126102847
23901	Pyramiden-Spiralpalme	3647568		3474	20181208142259
23902	Katharina_Fegebank	3647678		8868	20181208142259
23903	Talsperre_Březová	3647686		3940	20181123210037
23904	Mann_von_Bernuthsfeld	3648046		20628	20181215154855
23905	Ebon-Atoll	3648137		3312	20181123210037
23906	Namorik	3648282		1582	20181123210037
23907	Rote_Mombinpflaume	3648498		2549	20181126102847
23908	Allylamin	3648611		5632	20181210113118
23909	Buchenspringrüssler	3649311		5182	20181126102847
23910	Diphenylphosphan	3649685		3914	20181210113118
23911	Ahlhauser_Hammer	3649780		1668	20181123210037
23912	Kidsty_Pike	3649782		2174	20181123210037
23913	Landesregierung_und_Stadtsenat_Häupl_IV	3649848		6112	20181127104552
23914	Weltbund_zum_Schutz_des_Lebens	3649924		19505	20181215123154
23915	Talsperre_Kadaň	3650030		2106	20181123210037
23916	Uranylhydroxid	3650084		5695	20181210113118
23917	Stausee_Nechranice	3650163		3465	20181123210037
23918	Webicht	3650631		3101	20181123210037
23919	Forsthaus_Neuhaus	3650912		6345	20181123210037
23920	Tunka-Nationalpark	3651116		8314	20181216161148
23921	Saatgutmischung	3651499		4569	20180630132924
23922	Albert_Volkart	3651676		4897	20181003064036
23923	Julius_Pock	3651811		5104	20181208142300
